effect	px	py	pz	lx	ly	lz	fov	near	far	_
Technomancer_Buff	0	0.229000092	-17.577919	0	0.229000092	-0.0929999352	40	0.01	553.3904	0
Telepathic_Control_target	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Telepathic_Control_User	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
Teleport Recall	0	-0.8856578	-39.62562	0	-0.8856578	0	40	0.01	1254.13452	0
Teleport Trait Summon	0.1800003	-2.540001	-238.628967	0.1800003	-2.540001	1.98971176	40	0.01	7615.48145	0
Teleport Trigger Effect Quick	-1.18413162	-0.8906584	-44.5686378	-1.18413162	-0.8906584	0.649704	40	0.01	1431.14172	0
Thunderhawk Flyover	2.38999176	0	-159.151367	2.38999176	0	-4.69804	40	0.01	4888.3833	0
TideEffect	0	-1.2013855	-23.4885979	0	-1.2013855	0.0532646179	40	0.01	745.0902	0
Tidewall Gunrig	0	0.441861153	-83.93719	0	0.441861153	-8.63388252	40	0.01	2383.31836	0
TinyFlames	0.0108647346	0.06328845	-12.4879789	0.0108647346	0.06328845	0	40	0.01	395.239349	0
Toxic Vapors Damage	0	-1.31799984	-37.3011475	0	-1.31799984	0	40	0.01	1180.5658	0
Toxic Vapors Damage quick	0	-1.31799984	-37.3011475	0	-1.31799984	0	40	0.01	1180.5658	0
Toxic_Entanglement	0	-1.66800022	-37.3011475	0	-1.66800022	0	40	0.01	1180.5658	0
ToxicMiasma_Board	0.0291700363	0.208723545	-57.0986938	0.0291700363	0.208723545	-0.671937943	40	0.01	1785.88354	0
ToxicMiasma_Venomthrope	-1.10854149	2.21469259	-56.74357	-1.10854149	2.21469259	-1.56555557	40	0.01	1746.36121	0
ToxicMiasma_Warlord	-0.8657379	1.55039263	-56.3742142	-0.8657379	1.55039263	-0.747835159	40	0.01	1760.55188	0
Trait_GainQuest	0	-1.3380003	-37.3011475	0	-1.3380003	0	40	0.01	1180.5658	0
TraitorsHate_Board	0	2.50000024	-35.057415	0	2.50000024	-4.76837158E-07	40	0.01	1109.55261	0
TraitorsHate_Target	0.3259318	0.3551221	-18.950985	0.3259318	0.3551221	-0.497000217	40	0.01	584.061	0
Tyranid Spawn	0	-0.8380003	-58.31588	0	-0.8380003	0	40	0.01	1845.67334	0
Tyranid_Burrow	0	-1.31799984	-32.6385	0	-1.31799984	0	40	0.01	1032.995	0
TyranidInvasion_Spawn	0	1.16099834	-52.2591629	0	1.16099834	-0.1619997	40	0.01	1648.85364	0
UM_AvengingSon	-0.22559166	-1.3284626	-49.9518623	-0.22559166	-1.3284626	0.09570694	40	0.01	1583.98486	0
UM_Buff	0	-0.5803995	-21.6063557	0	-0.5803995	-0.00173544884	40	0.01	683.7772	0
UM_CardDraw	0	-1.30000019	-37.3008842	0	-1.30000019	0.0002641678	40	0.01	1180.5658	0
UM_DeathFromAbove	-3.28205681	7.037095	-42.5660973	-3.28205681	7.037095	2.725005	40	0.01	1433.44458	0
UM_MasterOfArcanaEffect	0	-1.30000019	-24.75572	0	-1.30000019	1.50646925	40	0.01	831.187439	0
UM_MightOfHeroesEffect	0	-0.8985014	-24.041256	0	-0.8985014	1.43051147E-06	40	0.01	760.8958	0
UM_StormravenShadow	-3.60298729	0	-66.89938	-3.60298729	0	3.00000048	40	0.01	2212.28638	0
UM_StormravenShadow_Perpendicular	9.536743E-07	-0.5	-72.21629	9.536743E-07	-0.5	5	40	0.01	2443.86377	0
UM_TacticalInsight	0.336582661	-0.594323158	-23.4332	0.336582661	-0.594323158	1.85429239	40	0.01	800.3386	0
UM_Target_LockOn_Crosshair	0	0.160000086	-15.5421438	0	0.160000086	0	40	0.01	491.9024	0
Unit Freezing	0.001203537	-1.28821278	-23.3624725	0.001203537	-1.28821278	-5.054474E-05	40	0.01	739.411	0
UnstableEffect	0	-1.31000042	-58.2830544	0	-1.31000042	0	40	0.01	1844.6344	0
UnstableEffect_ExplosionExtra	0	-5.51812553	-97.52708	0	-5.51812553	0	40	0.01	3086.69141	0
UnstableEffect_WaaaghEnergy	0	-1.31000042	-58.2830544	0	-1.31000042	0	40	0.01	1844.6344	0
Uprising Trait	0	-1.46999979	-43.736908	0	-1.46999979	0	40	0.01	1384.255	0
Valkyrie Flyover Hover Dust	8.215664	-1.29999924	-175.146957	8.215664	-1.29999924	1.87921715	40	0.01	5602.80469	0
Valkyrie_MultiLaser_Hover	-45.7152939	-21.8216133	-321.791748	-45.7152939	-21.8216133	43.5124	40	0.01	11561.7236	0
Vanguard Onslaught Board	0	-0.8380003	-124.693642	0	-0.8380003	8.460014	40	0.01	4214.258	0
VanguardIdleEffect	0	1.619	-31.2362442	0	1.619	-1.43051147E-06	40	0.01	988.6141	0
Vortex Explosion Massive	0	0	-155.421448	0	0	0	40	0.01	4919.02441	0
Vortex Warhead Impact	9.393692E-05	18.5204983	-75.5034943	9.393692E-05	18.5204983	0	40	0.01	2389.6543	0
VulnerableEffect	0.293808162	-0.426807761	-5.452365	0.293808162	-0.426807761	-0.0310000181	40	0.01	171.583939	0
VulnerableEffectEnd	0.54	0.496713877	-7.54649973	0.54	0.496713877	-0.0310000181	40	0.01	237.862442	0
Waaagh_Lightning	0	-0.7502899	-74.11549	0	-0.7502899	0	40	0.01	2345.72461	0
WailingDoom	0	-0.392939568	-60.1124725	0	-0.392939568	0	40	0.01	1902.53491	0
Warp Storm Target	0	-0.4779997	-38.89389	0	-0.4779997	0	40	0.01	1230.97546	0
Waystone UI Gain	0	0.0236148834	-58.1798134	0	0.0236148834	0.103263855	40	0.01	1844.63525	0
Waystone UI Spend	-1.20750141	0.0236148834	-60.4626961	-1.20750141	0.0236148834	0.103263855	40	0.01	1916.88745	0
WaystoneCollect	0	0	-3.885536	0	0	0	40	0.01	122.9756	0
WaystoneTrigger	0	0	-15.5421486	0	0	0	40	0.01	491.902527	0
WhileInPlay_Nurgle	0	-1.18799973	-37.3011475	0	-1.18799973	0	40	0.01	1180.5658	0
WhileInPlay_Tzeentch	0	-0.799655437	-38.0227661	0	-0.799655437	0	40	0.01	1203.40466	0
Whip Attack EC Daemon	-0.622771859	0.100511074	-37.9413757	-0.622771859	0.100511074	16.0074635	40	0.01	1707.45825	0
Whip Attack EC Lucius	0	-0.5757499	-42.84307	0	-0.5757499	15.665678	40	0.01	1851.77759	0
Whip Attack EC Maulerfiend	0	-0.575750351	-40.6093979	0	-0.575750351	16.0420856	40	0.01	1792.996	0
Whip Attack EC Normal	-1.13453412	0.382705837	-35.06172	-1.13453412	0.382705837	16.6281719	40	0.01	1635.96362	0
Wild Rider Chieftain	-0.379062653	-0.3048209	-9.478	-0.379062653	-0.3048209	0	40	0.01	299.974762	0
Will Of Gork	0	-0.23400116	-252.559921	0	-0.23400116	0	40	0.01	7993.4165	0
WorstTemperEffect	-0.07733488	-1.3744092	-19.8513947	-0.07733488	-1.3744092	0.0336737633	40	0.01	629.3542	0
